franchise_id,team_abbr,display_name,city,start_year,end_year,status,successor_franchise_id,hex_color

# ============================================
# ATLANTA HAWKS
# ============================================
ATL,ATL,Atlanta Hawks,Atlanta,1968,,active,,#E03A3E

# ============================================
# BOSTON CELTICS
# ============================================
BOS,BOS,Boston Celtics,Boston,1946,,active,,#007A33

# ============================================
# BROOKLYN NETS (formerly New Jersey/New York Nets)
# ============================================
BKN,BKN,Brooklyn Nets,Brooklyn,2012,,active,,#000000
NJN,NJN,New Jersey Nets,East Rutherford,1977,2012,relocated,BKN,
NYN,NYN,New York Nets,Uniondale,1976,1977,relocated,NJN,

# ============================================
# CHARLOTTE HORNETS (Bobcats expansion, NOT original Hornets)
# ============================================
CHA,CHA,Charlotte Hornets,Charlotte,2014,,active,,#1D1160
CHA04,CHA,Charlotte Bobcats,Charlotte,2004,2014,rebranded,CHA,

# ============================================
# CHICAGO BULLS
# ============================================
CHI,CHI,Chicago Bulls,Chicago,1966,,active,,#CE1141

# ============================================
# CLEVELAND CAVALIERS
# ============================================
CLE,CLE,Cleveland Cavaliers,Cleveland,1970,,active,,#860038

# ============================================
# DALLAS MAVERICKS
# ============================================
DAL,DAL,Dallas Mavericks,Dallas,1980,,active,,#00538C

# ============================================
# DENVER NUGGETS
# ============================================
DEN,DEN,Denver Nuggets,Denver,1976,,active,,#0E2240

# ============================================
# DETROIT PISTONS
# ============================================
DET,DET,Detroit Pistons,Detroit,1957,,active,,#C8102E

# ============================================
# GOLDEN STATE WARRIORS (abbrev change GOS -> GSW in 1996)
# ============================================
GSW,GSW,Golden State Warriors,Oakland,1996,,active,,#1D428A
GOS,GOS,Golden State Warriors,Oakland,1971,1996,rebranded,GSW,#1D428A

# ============================================
# HOUSTON ROCKETS (moved from San Diego 1971)
# ============================================
HOU,HOU,Houston Rockets,Houston,1971,,active,,#CE1141

# ============================================
# INDIANA PACERS
# ============================================
IND,IND,Indiana Pacers,Indianapolis,1976,,active,,#002D62

# ============================================
# LA CLIPPERS (Buffalo Braves -> San Diego -> LA)
# ============================================
LAC,LAC,Los Angeles Clippers,Los Angeles,1984,,active,,#C8102E
SDC,SDC,San Diego Clippers,San Diego,1978,1984,relocated,LAC,
BUF,BUF,Buffalo Braves,Buffalo,1970,1978,relocated,SDC,

# ============================================
# LOS ANGELES LAKERS
# ============================================
LAL,LAL,Los Angeles Lakers,Los Angeles,1960,,active,,#552583

# ============================================
# MEMPHIS GRIZZLIES (moved from Vancouver 2001)
# ============================================
MEM,MEM,Memphis Grizzlies,Memphis,2001,,active,,#5D76A9
VAN,VAN,Vancouver Grizzlies,Vancouver,1995,2001,relocated,MEM,

# ============================================
# MIAMI HEAT
# ============================================
MIA,MIA,Miami Heat,Miami,1988,,active,,#98002E

# ============================================
# MILWAUKEE BUCKS
# ============================================
MIL,MIL,Milwaukee Bucks,Milwaukee,1968,,active,,#00471B

# ============================================
# MINNESOTA TIMBERWOLVES
# ============================================
MIN,MIN,Minnesota Timberwolves,Minneapolis,1989,,active,,#0C2340

# ============================================
# NEW ORLEANS PELICANS (Charlotte Hornets -> NO Hornets -> NO/OKC Hornets -> Pelicans)
# ============================================
