franchise_id,team_abbr,display_name,city,start_year,end_year,status,successor_franchise_id,hex_color

# ============================================
# ORIGINAL SIX (1942-1967)
# ============================================

# BOSTON BRUINS
BOS,BOS,Boston Bruins,Boston,1924,,active,,#FFB81C

# CHICAGO BLACKHAWKS (CBH used in game data pre-1986)
CHI,CHI,Chicago Blackhawks,Chicago,1986,,active,,#CF0A2C
CBH,CBH,Chicago Black Hawks,Chicago,1926,1986,rebranded,CHI,#CF0A2C

# DETROIT RED WINGS
DET,DET,Detroit Red Wings,Detroit,1926,,active,,#CE1126

# MONTREAL CANADIENS
MTL,MTL,Montreal Canadiens,Montreal,1909,,active,,#AF1E2D

# NEW YORK RANGERS
NYR,NYR,New York Rangers,New York,1926,,active,,#0038A8

# TORONTO MAPLE LEAFS
TOR,TOR,Toronto Maple Leafs,Toronto,1917,,active,,#00205B

# ============================================
# 1967 EXPANSION
# ============================================

# LOS ANGELES KINGS
LAK,LAK,Los Angeles Kings,Los Angeles,1967,,active,,#111111

# MINNESOTA NORTH STARS -> DALLAS STARS (1993)
DAL,DAL,Dallas Stars,Dallas,1993,,active,,#006847
MNS,MNS,Minnesota North Stars,Bloomington,1967,1993,relocated,DAL,#008053

# PHILADELPHIA FLYERS
PHI,PHI,Philadelphia Flyers,Philadelphia,1967,,active,,#F74902

# PITTSBURGH PENGUINS
PIT,PIT,Pittsburgh Penguins,Pittsburgh,1967,,active,,#FCB514

# ST. LOUIS BLUES
STL,STL,St. Louis Blues,St. Louis,1967,,active,,#002F87

# CALIFORNIA GOLDEN SEALS -> CLEVELAND BARONS (1976, merged with Minnesota 1978)
# Game data uses OAK for Oakland Seals (1967-1970), then CGS (California Golden Seals)
CLE,CLE,Cleveland Barons,Richfield,1976,1978,defunct,,#CE1126
CGS,CGS,California Golden Seals,Oakland,1970,1976,relocated,CLE,#007A5E
OAK,OAK,Oakland Seals,Oakland,1967,1970,rebranded,CGS,#007A5E

# ============================================
# 1970 EXPANSION
# ============================================

# BUFFALO SABRES
BUF,BUF,Buffalo Sabres,Buffalo,1970,,active,,#002654

# VANCOUVER CANUCKS
VAN,VAN,Vancouver Canucks,Vancouver,1970,,active,,#00205B

# ============================================
# 1972 EXPANSION
# ============================================

# NEW YORK ISLANDERS
NYI,NYI,New York Islanders,Elmont,1972,,active,,#00539B

# ATLANTA FLAMES -> CALGARY FLAMES (1980)
# Game data uses ATF for Atlanta Flames
CGY,CGY,Calgary Flames,Calgary,1980,,active,,#D2001C
ATF,ATF,Atlanta Flames,Atlanta,1972,1980,relocated,CGY,#D2001C

# ============================================
# 1974 EXPANSION
# ============================================

# WASHINGTON CAPITALS
WSH,WSH,Washington Capitals,Washington,1974,,active,,#041E42

# KANSAS CITY SCOUTS -> COLORADO ROCKIES (1976) -> NEW JERSEY DEVILS (1982)
NJD,NJD,New Jersey Devils,Newark,1982,,active,,#CE1126
CLR,CLR,Colorado Rockies,Denver,1976,1982,relocated,NJD,#003366
KCS,KCS,Kansas City Scouts,Kansas City,1974,1976,relocated,CLR,#C8102E

# ============================================
# 1979 WHA MERGER
# ============================================

# EDMONTON OILERS
